bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,5,Round 6 - 26 September 2023,Yee Haw,That Wasn't Stepping,10,26,2023-09-26 20:30:00+08:00,False,Yee Haw,2,That Wasn't Stepping,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,6,Round 7 - 3 October 2023,Daddy Chaddy Fan Squad,Scots Tots,26,18,2023-10-03 18:00:00+08:00,False,Daddy Chaddy Fan Squad,8,Scots Tots,7.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,6,Round 7 - 3 October 2023,nets to nothing,That Wasn't Stepping,21,16,2023-10-03 18:45:00+08:00,False,nets to nothing,4,That Wasn't Stepping,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,6,Round 7 - 3 October 2023,FUJI7,Yee Haw,17,10,2023-10-03 19:45:00+08:00,False,FUJI7,5,Yee Haw,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,6,Round 7 - 3 October 2023,oh god dont shoot,Ballin on those throws,28,6,2023-10-03 21:15:00+08:00,False,oh god dont shoot,1,Ballin on those throws,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,7,Round 8 - 10 October 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,28,13,2023-10-10 18:00:00+08:00,False,That Wasn't Stepping,6,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,7,Round 8 - 10 October 2023,oh god dont shoot,Yee Haw,38,20,2023-10-10 18:45:00+08:00,False,oh god dont shoot,1,Yee Haw,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,7,Round 8 - 10 October 2023,nets to nothing,Ballin on those throws,20,15,2023-10-10 19:45:00+08:00,False,nets to nothing,4,Ballin on those throws,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,7,Round 8 - 10 October 2023,FUJI7,Scots Tots,11,25,2023-10-10 20:30:00+08:00,False,FUJI7,5,Scots Tots,7.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,8,Semi Final Round - 17 October 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,33,12,2023-10-17 18:00:00+08:00,False,That Wasn't Stepping,6,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,8,Semi Final Round - 17 October 2023,nets to nothing,oh god dont shoot,21,31,2023-10-17 20:30:00+08:00,False,nets to nothing,4,oh god dont shoot,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,8,Semi Final Round - 17 October 2023,Scots Tots,Yee Haw,20,0,2023-10-17 21:15:00+08:00,False,Scots Tots,7,Yee Haw,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,8,Semi Final Round - 17 October 2023,Ballin on those throws,FUJI7,21,13,2023-10-17 19:45:00+08:00,False,Ballin on those throws,3,FUJI7,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,9,Grand Final Round - 24 October 2023,That Wasn't Stepping,oh god dont shoot,23,31,2023-10-24 19:45:00+08:00,False,That Wasn't Stepping,6,oh god dont shoot,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,9,Grand Final Round - 24 October 2023,Daddy Chaddy Fan Squad,nets to nothing,12,24,2023-10-24 20:30:00+08:00,False,Daddy Chaddy Fan Squad,8,nets to nothing,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,9,Grand Final Round - 24 October 2023,Scots Tots,Ballin on those throws,20,16,2023-10-24 18:00:00+08:00,False,Scots Tots,7,Ballin on those throws,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,9,Grand Final Round - 24 October 2023,Scots Tots,FUJI7,17,25,2023-10-24 18:45:00+08:00,False,Scots Tots,7,FUJI7,5.0
